Posición,Ant.,Aper.,Bajo,Alto,Ult.,Cierre,Var.,Vol.,Vol. IRC,Vol.(Tons),O.I.,Var/O.I.,Mon
Unidad: TONELADAS ,,,,,,,,,,,,,
Tipo: Futuro ,,,,,,,,,,,,,
TRIGO B.A. 04/2020,"213,9",0,0,0,0,"212,5","-1,4",0,0,0,5,0,D
TRIGO B.A. 05/2020,"215,9",0,0,0,0,"214,5","-1,4",0,0,0,41,0,D
TRIGO B.A. 07/2020,"217,0",0,0,0,0,"216,5","-0,5",0,0,0,101,0,D
TRIGO B.A. 01/2021,"173,5",0,0,0,0,"173,5",0,0,0,0,1,0,D
TRIGO ROS 04/2020,"199,5",0,0,0,0,"199,5",0,0,0,0,0,0,D
TRIGO ROS 05/2020,"201,0",0,0,0,0,"201,0",0,0,0,0,4,0,D
TRIGO ROS 07/2020,"202,0","201,6","199,1","201,6","199,1","201,0","-1,0",103,0,10300,3188,-34,D
TRIGO ROS 09/2020,"204,5",0,0,0,0,"202,7","-1,8",0,0,0,0,0,D
TRIGO ROS 12/2020,"168,5","168,5","168,5","169,0","168,5","169,0","0,5",54,0,5400,484,-11,D
TRIGO ROS 01/2021,"170,0","170,0","169,5","170,5","170,5","170,0",0,43,0,4300,469,25,D
TRIGO ROS 03/2021,"173,5","174,0","174,0","175,0","174,5","174,2","0,7",63,0,6300,114,-5,D
MAÍZ ROS 04/2020,"132,7","131,0","129,0","131,5","129,1","130,2","-2,5",665,0,66500,2300,-562,D
MAÍZ ROS 05/2020,"134,5","131,0","126,5","131,0","126,5","127,0","-7,5",110,0,11000,105,95,D
MAÍZ ROS 07/2020,"123,5","123,5","122,0","124,0","123,0","123,0","-0,5",232,0,23200,6463,-78,D
MAÍZ ROS 09/2020,"126,2","126,0","125,5","126,0","125,5","126,0","-0,2",10,0,1000,1068,3,D
MAÍZ ROS 12/2020,"132,3","132,0","130,0","132,0","130,5","130,6","-1,7",76,0,7600,1500,51,D
MAÍZ ROS 04/2021,"134,9",0,0,0,0,"132,9","-2,0",0,0,0,0,0,D
SOJA ROS 04/2020,"215,0",0,0,0,0,"215,5","0,5",0,0,0,3,0,D
SOJA ROS 05/2020,"214,8","215,0","215,0","216,0","215,6","215,5","0,7",764,0,76400,6977,-273,D
SOJA ROS 07/2020,"220,3","220,7","220,7","221,0","220,9","220,8","0,5",116,0,11600,4631,22,D
SOJA ROS 09/2020,"224,0","224,4","224,4","225,0","225,0","224,8","0,8",5,0,500,66,3,D
SOJA ROS 11/2020,"227,8","227,6","227,5","228,7","227,9","228,3","0,5",263,0,26300,2309,89,D
SOJA ROS 01/2021,"230,5","231,2","230,7","231,6","231,6","230,9","0,4",13,0,1300,22,5,D
SOJA ROS 05/2021,"219,0","220,0","219,1","220,0","220,0","219,8","0,8",25,0,2500,136,22,D
SOJA FAB ENTREG ROS 05/2020,"212,4",0,0,0,0,"212,9","0,5",0,0,0,139,0,D
SOJA MINI s/e 05/2020,"214,8","215,5","215,5","215,5","215,5","215,5","0,7",1,0,10,207,0,D
SOJA MINI s/e 07/2020,"220,3","220,7","220,7","220,7","220,7","220,8","0,5",400,0,4000,141,0,D
SOJA MINI s/e 11/2020,"227,8","228,0","227,9","228,7","228,7","228,3","0,5",14,0,140,5,3,D
TRIGO MINI s/e 07/2020,"202,0","201,0","199,5","201,0","200,0","201,0","-1,0",10,0,100,93,-6,D
TRIGO MINI s/e 01/2021,"170,0","170,0","170,0","170,0","170,0","170,0",0,20,0,200,20,0,D
TRIGO MINI s/e 03/2021,"173,5","174,5","174,5","174,5","174,5","174,2","0,7",10,0,100,10,10,D
MAIZ MINI s/e 07/2020,"123,5","122,0","122,0","122,0","122,0","123,0","-0,5",6,0,60,110,3,D
MAIZ MINI s/e 12/2020,"132,3","129,6","129,6","129,6","129,6","130,6","-1,7",200,0,2000,7,0,D
SOJA CHICAGO RX s/e 04/2020,"308,5",0,0,0,0,"307,7","-0,8",0,0,0,2833,0,D
SOJA CHICAGO RX s/e 06/2020,"310,8","311,0","310,0","311,1","310,0","310,0","-0,8",1404,0,7020,3187,1404,D
SOJA CHICAGO RX s/e 10/2020,"315,2","314,5","314,1","314,5","314,1","314,1","-1,1",120,0,600,180,120,D
MAIZ CHICAGO RX s/e 04/2020,"126,4",0,0,0,0,"127,5","1,1",0,0,0,340,0,D
,,,,,,,,,0,268.430,37.259,886,
Tipo: Futuro sobre Base ,,,,,,,,,,,,,
SOJA FAN 05/2020,"-3,0","99999,0","99999,0","99999,0","99999,0","-3,0",0,0,0,0,30,0,D
,,,,,,,,,0,0,30,0,
,,,,,,,,,0,268.430,37.289,886,
,,,,,,,,,,268.430,,,
