indice_tiempo,medio_de_transporte,pais_origen,turistas_no_residentes
2016-01,Aérea,Europa,75533.8
2016-01,Aérea,Resto del mundo,19267.2
2016-01,Aérea,Resto de América,35648.1
2016-01,Aérea,Uruguay,3123.9
2016-01,Aérea,Paraguay,5093.5
2016-01,Aérea,EE.UU. y Canadá,39785
2016-01,Aérea,Chile,16396
2016-01,Aérea,Brasil,38487
2016-01,Aérea,Bolivia,7842.5
2016-01,Terrestre,Europa,36558.7
2016-01,Terrestre,Resto del mundo,16248.7
2016-01,Terrestre,Resto de América,16767
2016-01,Terrestre,Uruguay,29126.4
2016-01,Terrestre,Paraguay,78661.7
2016-01,Terrestre,EE.UU. y Canadá,7767.1
2016-01,Terrestre,Chile,131498.2
2016-01,Terrestre,Brasil,43461.2
2016-01,Terrestre,Bolivia,65508.5
2016-01,Fluvial/Marítima,Europa,21939.1
2016-01,Fluvial/Marítima,Resto del mundo,6361
2016-01,Fluvial/Marítima,Resto de América,6935
2016-01,Fluvial/Marítima,Uruguay,23048
2016-01,Fluvial/Marítima,Paraguay,7472
2016-01,Fluvial/Marítima,EE.UU. y Canadá,19143
2016-01,Fluvial/Marítima,Chile,2491.9
2016-01,Fluvial/Marítima,Brasil,37199.1
2016-01,Fluvial/Marítima,Bolivia,8601.1
2016-02,Aérea,Europa,57767
2016-02,Aérea,Resto del mundo,17812
2016-02,Aérea,Resto de América,25223.6
2016-02,Aérea,Uruguay,3169.3
2016-02,Aérea,Paraguay,4035.6
2016-02,Aérea,EE.UU. y Canadá,28328
2016-02,Aérea,Chile,22602
2016-02,Aérea,Brasil,23715
2016-02,Aérea,Bolivia,6078.6
2016-02,Terrestre,Europa,33867
2016-02,Terrestre,Resto del mundo,13905.2
2016-02,Terrestre,Resto de América,12519.9
2016-02,Terrestre,Uruguay,28694.6
2016-02,Terrestre,Paraguay,66428.6
2016-02,Terrestre,EE.UU. y Canadá,7469.1
2016-02,Terrestre,Chile,184786.5
2016-02,Terrestre,Brasil,28331
2016-02,Terrestre,Bolivia,42929.4
2016-02,Fluvial/Marítima,Europa,27799.1
2016-02,Fluvial/Marítima,Resto del mundo,6658
2016-02,Fluvial/Marítima,Resto de América,4702
2016-02,Fluvial/Marítima,Uruguay,24035
2016-02,Fluvial/Marítima,Paraguay,6616
2016-02,Fluvial/Marítima,EE.UU. y Canadá,19220
2016-02,Fluvial/Marítima,Chile,4418.3
2016-02,Fluvial/Marítima,Brasil,30754
2016-02,Fluvial/Marítima,Bolivia,4161
2016-03,Aérea,Europa,57646
2016-03,Aérea,Resto del mundo,16022
2016-03,Aérea,Resto de América,29163.3
2016-03,Aérea,Uruguay,5247.9
2016-03,Aérea,Paraguay,5093.9
2016-03,Aérea,EE.UU. y Canadá,32053
2016-03,Aérea,Chile,18059
2016-03,Aérea,Brasil,26809
2016-03,Aérea,Bolivia,5110.9
2016-03,Terrestre,Europa,31107.6
2016-03,Terrestre,Resto del mundo,9748.6
2016-03,Terrestre,Resto de América,12560.3
2016-03,Terrestre,Uruguay,39941.8
2016-03,Terrestre,Paraguay,65506.9
2016-03,Terrestre,EE.UU. y Canadá,6731.6
2016-03,Terrestre,Chile,84207.5
2016-03,Terrestre,Brasil,23903.6
2016-03,Terrestre,Bolivia,30150.8
2016-03,Fluvial/Marítima,Europa,17408.1
2016-03,Fluvial/Marítima,Resto del mundo,5109
2016-03,Fluvial/Marítima,Resto de América,7030
2016-03,Fluvial/Marítima,Uruguay,36770
2016-03,Fluvial/Marítima,Paraguay,6175
2016-03,Fluvial/Marítima,EE.UU. y Canadá,16442
2016-03,Fluvial/Marítima,Chile,1786.1
2016-03,Fluvial/Marítima,Brasil,11382
2016-03,Fluvial/Marítima,Bolivia,6050
2016-04,Aérea,Europa,48942
2016-04,Aérea,Resto del mundo,14094
2016-04,Aérea,Resto de América,27073.1
2016-04,Aérea,Uruguay,4775.7
2016-04,Aérea,Paraguay,4652.2
2016-04,Aérea,EE.UU. y Canadá,24870
2016-04,Aérea,Chile,18451
2016-04,Aérea,Brasil,39399
2016-04,Aérea,Bolivia,5071.1
2016-04,Terrestre,Europa,17933.4
2016-04,Terrestre,Resto del mundo,5593.4
2016-04,Terrestre,Resto de América,8726.5
