Posición,Precio,Volumen,Hora
GGAL042021,119.25,2,16:59:59
GGAL042021,119.35,5,16:59:58
GGAL042021,119.25,1,16:59:58
GGAL042021,119.35,2,16:59:58
ORO052021,1792.0,1,16:59:58
GGAL042021,119.25,1,16:59:56
GGAL062021,125.9,20,16:59:56
GGAL062021,125.9,1,16:59:56
RFX20042021,65490.0,1,16:59:56
RFX20042021,65450.0,1,16:59:54
RFX20042021,65450.0,5,16:59:54
RFX20042021,65490.0,3,16:59:54
RFX20042021,65490.0,1,16:59:54
RFX20042021,65490.0,2,16:59:54
YPFD042021,601.8,1,16:59:54
YPFD042021,597.0,1,16:59:30
GGAL062021,125.9,1,16:59:25
RFX20042021,65320.0,4,16:59:20
RFX20042021,65320.0,5,16:59:20
GGAL042021,119.5,5,16:59:14
WTI052021,63.57,1,16:59:06
GGAL042021,119.5,5,16:59:04
GGAL062021,125.55,1,16:58:59
RFX20042021,65495.0,5,16:58:59
RFX20062021,70130.0,3,16:58:56
GGAL062021,125.55,35,16:58:55
RFX20042021,65440.0,5,16:58:54
RFX20042021,65450.0,2,16:58:54
RFX20042021,65495.0,5,16:58:54
RFX20042021,65500.0,2,16:58:54
RFX20042021,65405.0,9,16:58:51
GGAL042021,119.65,13,16:58:50
RFX20042021,65400.0,1,16:58:38
RFX20042021,65400.0,1,16:58:38
GGAL042021,119.5,3,16:58:33
GGAL042021,119.5,10,16:58:33
GGAL042021,119.5,1,16:58:31
GGAL042021,119.5,11,16:58:31
GGAL042021,119.5,8,16:58:31
RFX20042021,65405.0,1,16:58:30
GGAL042021,119.45,20,16:58:28
RFX20042021,65400.0,1,16:58:26
RFX20042021,65400.0,1,16:58:26
RFX20042021,65395.0,2,16:58:19
GGAL042021,119.4,8,16:58:16
GGAL042021,119.4,2,16:58:16
RFX20042021,65350.0,5,16:58:15
RFX20042021,65390.0,1,16:58:12
RFX20042021,65350.0,2,16:58:11
RFX20042021,65375.0,3,16:58:07
RFX20042021,65375.0,1,16:58:07
GGAL042021,119.35,8,16:58:01
GGAL042021,119.35,2,16:57:58
RFX20042021,65370.0,1,16:57:56
RFX20042021,65350.0,2,16:57:45
PAMP042021,84.5,1,16:57:24
GGAL042021,119.3,1,16:56:38
RFX20042021,65350.0,2,16:56:16
GGAL042021,119.25,10,16:56:09
RFX20042021,65350.0,1,16:56:07
GGAL042021,119.25,5,16:56:01
RFX20042021,65350.0,1,16:56:00
GGAL042021,119.25,1,16:55:59
GGAL042021,119.25,4,16:55:59
YPFD042021,600.0,1,16:55:53
WTI052021,63.58,1,16:55:51
RFX20062021,70130.0,20,16:55:47
RFX20042021,65375.0,2,16:55:47
RFX20042021,65350.0,1,16:55:44
YPFD042021,600.0,1,16:55:39
RFX20042021,65350.0,1,16:54:51
RFX20042021,65350.0,1,16:54:51
GGAL042021,119.1,5,16:54:36
GGAL042021,119.1,4,16:53:18
GGAL042021,119.1,6,16:53:18
GGAL042021,119.25,5,16:52:49
YPFD042021,599.0,2,16:52:47
