id,server_ts,account,side,price,order_type,time_in_force,symbol,size
3682981,1495118841941,100,0,17.7000000,0,0,DODic17,50.0000000
3682982,1495118842391,10,1,17.7000000,0,0,DODic17,50.0000000
3683140,1495118961501,100,0,17.7000000,0,0,DODic17,50.0000000
3683141,1495118961923,10,1,18.2500000,0,0,DODic17,250.0000000
3683400,1495119139501,100,0,17.7000000,0,0,DODic17,50.0000000
3683401,1495119139936,10,1,18.0000000,0,0,DODic17,100.0000000
3683514,1495119205266,100,0,17.6600000,0,0,DODic17,14.0000000
3683515,1495119205672,10,1,17.8900000,0,0,DODic17,50.0000000
3683603,1495119261322,100,0,17.7500000,0,0,DODic17,50.0000000
3683604,1495119261719,10,1,17.8900000,0,0,DODic17,50.0000000
3683782,1495119381281,100,0,17.8000000,0,0,DODic17,50.0000000
3683783,1495119381698,10,1,17.8900000,0,0,DODic17,50.0000000
3684498,1495119861514,100,0,17.8000000,0,0,DODic17,50.0000000
3684499,1495119861958,10,1,17.8900000,0,0,DODic17,1000.0000000
3684552,1495119975920,100,0,17.8000000,0,0,DODic17,50.0000000
3684553,1495119976397,10,1,17.8800000,0,0,DODic17,50.0000000
3684601,1495120094549,100,0,17.8000000,0,0,DODic17,50.0000000
3684602,1495120095116,10,1,17.8800000,0,0,DODic17,500.0000000
3684627,1495120157824,100,0,17.8000000,0,0,DODic17,50.0000000
3684628,1495120158265,10,1,17.8800000,0,0,DODic17,1000.0000000
3684874,1495120524069,100,0,17.8000000,0,0,DODic17,50.0000000
3684875,1495120524638,10,1,17.8500000,0,0,DODic17,478.0000000
3684923,1495120646092,100,0,17.8000000,0,0,DODic17,50.0000000
3684924,1495120646621,10,1,17.8800000,0,0,DODic17,1000.0000000
3684945,1495120699462,100,0,17.8000000,0,0,DODic17,50.0000000
3684946,1495120701109,10,1,17.8800000,0,0,DODic17,1000.0000000
3684969,1495120760727,100,0,17.8000000,0,0,DODic17,50.0000000
